tours,reviews,company,describtion,price
Sprinter Bus Airport Transfer,No , Prestigious Transport,"Reserve your Sprinter Bus airport transfer in advance and have us transport you, prestigiously, to your destination. Whether arriving for business or pleasure, start your journey off right by riding in luxury,... read more ","SAR 1,031.31 "
Small-Group Boat Charter with Snorkeling in Nassau,4 , Pushin Tin Charters,"Charter a boat from Nassau for your small-group to explore the island waters. During this full-day or half-day charter, lie on the boat's deck to enjoy the tropical sunshine and light ocean breeze. Stop to snorkel... read more ","SAR 3,562.71 "
Private Half-Day Fishing Charter in Nassau,6 , Born Free Fishing Charters,"Cruise off the coast of the Bahamas aboard a 31-foot (9-meter) Bertram boat on a personalized fishing charter from Nassau, and customize the itinerary to your preferences. Opt to drop your line in the deep waters... read more ","SAR 2,437.64 "
Stingray and Multi-Reef Snorkeling Eco-Tour,5 , West End Ecology Tours,"An excellent choice for nature lovers, this day tour takes you to several snorkeling spots along the Grand Bahama’s reef system. With depths averaging four to 12 feet, look for a variety of tropical fish, corals,... read more ","SAR 1,346.33 "
Private Photo Session with a Local Photographer in Nassau,No , Localgrapher,Want to capture your amazing honeymoon? Family vacation while the kids are still little? Your perfect couples retreat from everyday busy life? A solo trip without asking strangers to take pictures of you? Stop... read more ,SAR 909.62 
Nassau Cooking Class at Graycliff Restaurant,No , Graycliff Chocolatier,"Delve into the traditions and methods of Bahamian cuisine during this Bahamian cooking class at the 5-star Graycliff Restaurant. Led by the restaurant's Executive Chef, make authentic Bahamian recipes in the... read more ",SAR 791.30 
Private Half-Day Sightseeing and Beach Charter in Nassau,3 , Born Free Fishing Charters,Benefit from personalized attention and a flexible itinerary on this private half-day boat charter off Nassau. Choose where you'd like to go with the help of the dedicated captain and crew; options include any area... read more ,"SAR 2,437.64 "
Vacation Photographer in Nassau,1 , Localgrapher,Localgrapher is the largest network of professional photographers and videographers with more than 600 destinations around the globe! Book your private photographer and guide in Nassau to capture your... read more ,SAR 909.62 
Exciting Group Club Hopping,No , K.V. Bus & Charter Services,"Discover the exciting and vivid nightlife of of the beautiful Nassau, Bahamas. On This energetic 3 to 4 hour club hopping tour with a humorous and savvy guide guest can expect to taste great cocktails, dance to... read more ","SAR 1,395.08 "
Charter a private yacht in Nassau for the day,No , Bonaparte Yacht,Experience a day charter on a private yacht. Its the bast way to enjoy the fabulous island of The Bahamas,"SAR 20,626.21 "
Dubai City Tour with Lunch in Atlantis the Palm,No , Sougat Travel & Tours,"Explore the trip of Dubai activities .Experience the exotic day with the Dubai diary which exploers glittering evening views of the Dubai,Dubaicity covering the Dubai museum towering, Glamorous shopping malls,... read more ",SAR 937.56 
Ride like an islander in a Jeep Wrangler 4 Hr Rental Cruise Port...,No , J & S Scooter ATV's Chasing Charters,When you've got family and friends joining you on your trip to Paradise there is no other mode of transport that gives you an intoxicating experience even in commute other than the Jeep Wrangler. J&S provides a... read more ,SAR 937.56 
Bahamas Beach Day - Enjoy the Beach on Rose Island - Private Boat...,1 , Fanta Sea Island Charters,"Would you like to spend a day on a beautiful beach in the Bahamas? Fanta Sea Island Charters offers full and half day tours to Rose Island which is located a short distance off Nassau, (New Providence), and Paradise... read more ","SAR 2,812.67 "
Private Arrival Luxury Transfer: Freeport International Airport (1...,No , NexusTours,"For a hassle-free way to begin your vacation or business trip in Freeport, book a private airport arrival luxury transfer.  Avoid public transportation or long taxi lines with this convenient, door-to-door... read more ","SAR 1,102.56 "
Jeep Rental,No , Virgo Car & Scooter Rental,"The customer receives a one of a kind experience of exploring the beautiful island of Nassau in style. With it either being a 3-seater or 4-seater Jeep, the availability is there in order to bring forth an extremely... read more ",SAR 921.39 
Snorkel Clifton Heritage Park & Bahamas Underwater Wreck Sites...,No , Fanta Sea Island Charters,"Snorkel like a Star! This tour takes us to the scenic western end of Nassau, New Providence Island, in The Bahamas. We will make our way through the beautiful turquoise waters and around the pristine coral heads... read more ","SAR 3,375.20 "
Snorkel Clifton Heritage Park & Bahamas Underwater Wreck Sites...,No , Fanta Sea Island Charters,"Snorkel like a Star! This tour takes us to the scenic western end of Nassau, New Providence Island, in The Bahamas. We will make our way through the beautiful turquoise waters and around the pristine coral heads... read more ","SAR 3,375.20 "
Glass Bottom & BananaBoat - Family Package,No , Bahama Joy Ride & Snorkeling Adventures,This will be the only tour that we are offering for families & friends in a bundle. The tour is both children & elderly friendly. Why not enjoy three activities with the ones that you love. The Glass Bottom... read more ,"SAR 2,062.62 "
"Private Corporate Charters - Paradise Island & Rose Island, Bahamas",No , Fanta Sea Island Charters,Do you want to treat your employees or celebrate a business win? Take your staff and management on a fun filled day to Paradise Island or Rose Island in the Bahamas. Price dependent on options selected. Please call... read more ,"SAR 3,000.18 "
Charter a private yacht in Nassau for the day,No , Bonaparte Yacht,Experience a day charter on a private yacht. Its the bast way to enjoy the fabulous island of The Bahamas,"SAR 20,626.21 "
Half Day Fishing Charter In Nassau-Sight Seeing Included,No , Love Beach Cruises,Here at Love Beach Cruises have your opportunity to own a fishing machine and it’s crew for the duration of your half day charter. Customize your charter as you wish to fit your desires of a perfect fishing trip in... read more ,"SAR 2,437.64 "
"Guadeloupe 8 days catamaran cruise, inc. food",No , Board a Boat,Discover a paradise unlike no other whilst sailing through Guadeloupe on our premium cruise.,"SAR 5,678.25 "
"Speedboat to Northern Exuma (Allans Cay, Sandbar, Normans Cay)",No , Blue Wave Charters,"This tour is unique because once you arrive to Northern Exuma, which is 1 hour away by speedboat, all of your destinations for the tour are 15 min within each other. You are able to fully enjoy your stops and have... read more ","SAR 13,125.77 "
Bahamas Beach Day - Enjoy the Beach on Rose Island - Private Boat...,1 , Fanta Sea Island Charters,"Would you like to spend a day on a beautiful beach in the Bahamas? Fanta Sea Island Charters offers full and half day tours to Rose Island which is located a short distance off Nassau, (New Providence), and Paradise... read more ","SAR 2,812.67 "
"Private full day Exuma pigs, iguanas, Grotto and sandbar",No , Reel Dreams Sport Fishing Charters,With this private tour you have the flexibility to experience Exuma your way without being grouped together with strangers.,"SAR 18,376.08 "
3/4 day deep sea /light tackle fishing,No , Bluefinn242,"At the beginning of your tour there is a brief sightseeing tour of Nassau harbor as we make our way to the fishing grounds where you will partake in a Combination of deep sea, light tackle and reef fishing !! Also... read more ","SAR 3,562.71 "
"Fishing charters, and wildlife tours and merchandise",No , Gideon Amos Pinder,"With us you will experience the best wildlife the Bahamas has to offer. Wether it’s fishing or touring, I can show you around,born and raised in the Bahamas. And I would love to show you the paradise I call home!","SAR 3,375.20 "
Freeport Shore Excursion: Round-Trip Beach Transfer to Paradise Cove,34 , Fran's Travel Tour & Limo Service,"Enjoy round-trip transport from your cruise ship to Paradise Cove, the ideal place to spend a beach day while docked in Grand Bahama. This picturesque beach offers soft, white sand, crystal-clear waters, world-class... read more ",SAR 82.47 
Freeport Shore Excursion: Lucayan National Park Tour,36 , H. Forbes Charter Services,Explore Lucayan National Park on this half-day shore excursion from the Grand Bahama cruise port. Discover one of the largest underwater cave systems in the world and trek along a boardwalk to Gold Rock Beach's... read more ,SAR 187.47 
Bahamas East End and Lucayan National Park Tour,56 , H. Forbes Charter Services,Explore Lucayan National Park on this half-day adventure on Grand Bahama. Discover one of the largest underwater cave systems in the world and trek along a boardwalk to Gold Rock Beach's miles of white sands. View... read more ,SAR 187.47 
Freeport Shore Excursion: Round-Trip Beach Transfer to Taino Beach,8 , Fran's Travel Tour & Limo Service,Arrange your round-trip port transfer from Freeport in advance and skip the hassle of booking a service when you dock. This convenient form of transport takes you from Freeport cruise terminal to Taino Beach on... read more ,SAR 61.88 
Freeport Shore Excursion: Half-Day Freeport Tour,15 , H. Forbes Charter Services,"Visit all of Freeport's highlights and landmarks during this shore excursion. Explore 'Millionaires Row,' go duty-free shopping at a local liquor shop and visit a bustling open air fruit market. Take a walk through... read more ",SAR 168.72 
Discover Atlantis,25 , Aquaventure,"Visit the Atlantis Paradise Island resort to explore its open-air marine habitat that’s inspired by the lost city of Atlantis. Wander along paths and through tunnels, spotting over 250 marine species and more than... read more ",SAR 165.01 
Nassau Self-Guided Audio Tour,2 ,No company,"With these audio files and nap, you enjoy this Nassau walking tour at your leisure. It is recommend you start your self-guided tour at Woodes Rogers Walk near the cruise-ship terminal, and then spend as long as you... read more ",SAR 56.22 
Banana Boat Adventure in Nassau,2 , My Own Water Sports,"Bounce and bump across the waters off Paradise Island's Cabbage Beach during this banana boat adventure. The banana boat can hold up to 10 passengers, so you can ride with your family and friends. Round-trip hotel... read more ",SAR 75.00 
Native Rum Tasting and Distillery Tour,5 , Tours of A Lifetime,"Get an insider's peek at the rum-making process during this Nassau rum tasting and distillery tour. Follow your guide on a historical walking tour of the distillery grounds and see how Bahamian rum is produced, from... read more ",SAR 180.01 
Glass Bottom Reef & Shark Encounter Tour,5 , Reef Tours Ltd.,"This glass-bottom boat tour is great for nature lovers or those who simply want to take it easy and enjoy being on the water. The tour begins with cruising the inland canals around Freeport. Later, head out to the... read more ",SAR 150.01 
Shared Round-Trip Transfer: Nassau International Airport,1 , NexusTours,"Pre-book your transfers to and from Nassau International Airport and enjoy a hassle- free transportation!   Plan ahead and book your Nassau round-trip airport transfer in advance to enjoy a convenient,... read more ",SAR 213.76 
Hour Jet Ski Adventure,8 , My Own Water Sports,Explore the Bahamian waters on a jet ski during this full hour rental from Nassau. Can accommodate individual riders or couples; hotel and port pickup and drop-off included. ,SAR 562.53 
Blast from the Past Nassau Tour,2 , Tours of A Lifetime,"Get a comprehensive tour of Nassau's most important historical landmarks during this excursion. Visit Pompey Square, the Government House, the British Colonial Hilton Fort Nassau, among other highlights. End up at... read more ",SAR 112.47 
Aquaventure Oasis at Atlantis with Lunch,42 , Aquaventure,"If you want to experience all the thrills of a day at Atlantis Paradise Island without springing for a room at the megaresort, consider booking this day pass to the on-site Aquaventure water park, designed for... read more ",SAR 659.10 
Freeport Shore Excursion: Deadman's Reef Snorkeling and Beach Escape,23 , Fran's Travel Tour & Limo Service,"While in port in Freeport, enjoy a day in Deadman’s Reef on Grand Bahama. Spend your morning or afternoon as you wish – this area offers white-sand beaches, calm, clear waters and world-class snorkeling, without the... read more ",SAR 363.77 
Freeport Shore Excursion: Round-Trip Beach Transfer to Pirates Cove,15 , Fran's Travel Tour & Limo Service,"Discover white sand and clear water at Pirates Cove with a round-trip transfer from your Freeport cruise ship, and turn your shore excursion into an island escape. Book your transportation in advance, so you can... read more ",SAR 56.63 
Discover Nassau Sightseeing Tour plus Atlantis Resort Visit,25 , Discover Nassau Tour,"Enjoy a comfortable and relaxing way to explore Nassau’s highlights when you book this speedy shore excursion. Meet your guide at the cruise port upon disembarking your vessel, and hop aboard an air-conditioned... read more ",SAR 206.22 
One Way Nassau Airport Fast-Track Access at Lynden Pindling...,9 , Bahamas Experience Tours,Enjoy one way fast-track access for your arrival ($99 each way which includes meet and greet at the plane) at Lynden Pindling International Airport in Nassau. Meet your personal concierge at the gate with a... read more ,SAR 374.98 
Bimini Fast-Ferry with Pick-up and Hilton Beach Day-Pass,12 , US2U Inc. Sightseeing & Beach Weddings,"Enjoy an island escape with this full-day tour from Miami to the Bimini Islands, the closest islands of the Bahamas to the United States. You'll travel by ferry across the Atlantic and then enjoy five to six hours... read more ",SAR 832.55 
Nassau Private Nature Charter,1 , Pushin Tin Charters,"Charter a private boat off the southeastern coast of Nassau. On this 2-hour private tour with an experienced nature guide, explore the rich biodiversity of the mangrove forest, where native plant and animal life... read more ","SAR 3,000.18 "
Deep Sea Fishing,4 , First Strike Charters,"Take to the turquoise Bahamian seas, and try your hand at deep-sea fishing, when you embark on a private yacht charter from Nassau. Pick from half-day and full-day slots, and set off in the morning. All necessary... read more ","SAR 3,562.71 "
"Private Full Day ""Surf and Turf"" pigs + fishing in Spanish Wells",No , Reel Dreams Sport Fishing Charters,"Finally you can fish and visit the famous swimming pigs at Meeks Patch Spanish Wells on the same excursion. Due to its proximity to Nassau/Paradise Island of only 40 miles, you can now combine fishing with visiting... read more ","SAR 13,125.77 "
Half Day Fishing Charter In Nassau-Sight Seeing Included,No , Love Beach Cruises,Here at Love Beach Cruises have your opportunity to own a fishing machine and it’s crew for the duration of your half day charter. Customize your charter as you wish to fit your desires of a perfect fishing trip in... read more ,"SAR 2,437.64 "
"Private full day Exuma pigs, iguanas, Grotto and sandbar",No , Reel Dreams Sport Fishing Charters,With this private tour you have the flexibility to experience Exuma your way without being grouped together with strangers.,"SAR 18,376.08 "
Full Day Private Charter,4 , Tyto Tours,"Get ready to enjoy the thrill of a lifetime on our 48-foot Chris-Craft, Bucket List. Once on board, you’ll meet with the crew to customize your experience. A trip to The Bahamas wouldn’t be complete without a... read more ","SAR 6,375.37 "
"Speedboat to Northern Exuma (Allans Cay, Sandbar, Normans Cay)",No , Blue Wave Charters,"This tour is unique because once you arrive to Northern Exuma, which is 1 hour away by speedboat, all of your destinations for the tour are 15 min within each other. You are able to fully enjoy your stops and have... read more ","SAR 13,125.77 "
Private Full-Day Fishing Charter in Nassau,6 , Born Free Fishing Charters,"Cruise off the coast of Nassau, Bahamas, aboard your own 31-foot (9-meter) Bertram boat on this personalized fishing excursion, and customize the itinerary to suit your needs. Opt to drop your line in the deep... read more ","SAR 4,875.29 "
3/4 day deep sea /light tackle fishing,No , Bluefinn242,"At the beginning of your tour there is a brief sightseeing tour of Nassau harbor as we make our way to the fishing grounds where you will partake in a Combination of deep sea, light tackle and reef fishing !! Also... read more ","SAR 3,562.71 "
Private Round-Trip Luxury Transfer: Freeport International Airport (1...,No , NexusTours,Pre-book your private luxury transfers to and from Freeport International Airport and enjoy a hassle- free transportation!    Plan ahead and book your Nassau round-trip private luxury airport... read more ,"SAR 2,208.88 "
Private Half-Day Fishing Charter in Nassau,1 , Born Free Fishing Charters,"Experience a 4-hour private fishing charter on a 48-foot Chris-Craft boat that is catered to your interests! Experience deep sea fishing on the ocean's edge, light tackle fishing over shallow reefs, snorkeling at... read more ","SAR 3,187.69 "
Private Part Day Trip,2 , KeepItSalty Adventures,"With a part day trip, you are able to choose between fishing, going to a secluded beach, swimming with the turtles or just cruising around the harbor.  Optionally, you can do all if you wanted to. Trip is completely... read more ","SAR 9,563.06 "
PinkSandy Beach 2day/1Night Allinclusive Getaway to Eleuthera...,No , Ashley Gibson Sr.,Most guest that plan a trip to Nassau will be seeing a major city.Most guest like to combine the Bahamas city experience with a mini trip to see a tropical quiet Bahamian Island.Guest also like to see the... read more ,"SAR 2,437.64 "
"40"" Private Charter Boat Half Day Tour in Nassau",No , Exuma Trips and Tours,This charter is a unique trip. It allows you exclusive use of your charter boat with no other party on board the vessel. You and your guest have full access to your time arranged during your private charter. Your... read more ,"SAR 7,500.44 "
Private Nassau Nightlife Bar Hopping Tour,No , Bahamian Hospitality,Experience Nassau's vibrant nightlife scene on a personalized bar-hopping tour for your own private group of up to 15 people—a great choice for travelers celebrating a special occasion. Enjoy easy transportation in... read more ,"SAR 4,500.26 "
"Fishing Charters, Scuba Diving, Snorkeling tours, Boat Rides, Private...",5 , Made in Water,"We provide a boutique experience, it's a family business attended by their owners. Trips will not be bigger than 4 divers, and we will provide private charters in case you want the boat for yourself. In every... read more ","SAR 4,875.29 "
The Birthday Boat w/Champagne,No , J & S Scooter ATV's Chasing Charters,Birthdays are far too boring on land! Turn up with the J & S Crew Music Complimentary champagne for the birthday boy or girldiving swimming,"SAR 6,746.65 "
PowerBoat Rental in Nassau,No , Exuma Trips and Tours,We have been providing transport services over 20 years and will ensure that your request are fulfilled with great seamanship from start to finish.,"SAR 6,750.40 "
A Bahamas Sailing Adventure!,No , Trouvaille Travel,"Our goal for this adventure is to provide you with a Caribbean sailing experience that will stay in your memories and your heart for the rest of our life ~ and even encourage you to do it again! This very special,... read more ","SAR 12,822.19 "
Full-Day 38ft Private Charter in Nassau,6 , Reel Dreams Sport Fishing Charters,"Join on this private, full-day charter onboard the 38ft Reel Dreams. You are in control so you can fully customize your charter to fit your needs. You're able to choose any combination of activities that fits you... read more ","SAR 6,000.35 "
ATV Rentals in Bahamas,No , Bahamas To-Do,Can hold up to 2 passengers. ATV’s are automatic.9am & 1pm is the only rental option for the 4 hour rentals. Other rental options are usually booked between 9 am or 10 am,SAR 825.05 
A 2-Tank Shark Dive Activity in Bahamas,No , Bahamas To-Do,"a two-tank dive trip that takes you on an underwater encounter with Caribbean Reef Sharks. On the first dive, you’ll participate in a free swim with the sharks, while on the second dive, watch as a professional... read more ",SAR 937.56 
Snorkeling,No , Bahamas To-Do,Be ready for convenient pickup at your hotel or the cruise port in Nassau 15 to 30 minutes before your scheduled snorkeling outing. Tours are available every half hour between 9am and 4:30pm.Arrive at the water... read more ,SAR 330.02 
Horseback Riding in Bahamas,No , Bahamas To-Do,Children must be 12 yrs or older.The weight limit is 200lbs (we are flexible so please ask!) Rule of thumb is that no horse should be asked to carry more than 25% of its own body weight.No tandem riding.Non-riders... read more ,SAR 637.54 
Top 5 of Nassau,No , Big Mama's Tours & Taxi,The sites that we exhibit are the Top 5 sites of Nassau. Compact in one transportation. There is knowledgeable one guide with a group to ensure a full experience at each destination. this is Kid friendly and... read more ,SAR 94.51 
"Car Rental Tours In Nassau, The Bahamas",No , Vacations In Paradise T & T,"Vacations In Paradise Transportation & Tours is a Luxury Transportation, Car/Scooter Rentals, City Tours and Concierge service company in The Bahamas. We offer authentic Bahamian experience to all our guest. We... read more ",SAR 225.01 
"Scooter Tours in Nassau, The Bahamas",No , Vacations In Paradise T & T,"Vacations In Paradise Transportation & Tours is a Luxury Transportation, Car/Scooter Rentals, City Tours, and Concierge service company in The Bahamas. Our tours are fun, informative and interactive. Visit... read more ",SAR 337.52 
Yacht Charter,No , Executive Yacht Charters,Executive Yacht Charters is all about creating the most magical experience for our clients. Over the last five years we have arrange hundreds of charters all over the Bahamas and the Caribbean. We are a team of... read more ,"SAR 28,314.16 "
Massages at your location,No , Island Wellness Exuma,You will stay at the comfort of your home while we set up our mobile spa with music and all necessary tools.,SAR 375.02 
Versailles & Gardens Entrance Ticket with Self-Guided Tour in Mobile...,No , Surprise Me,"Visit the residence of France’s famous Sun King in Versailles, located just 30 minutes by train from central Paris. With your day ticket, you’ll be able to explore the ornate State Apartments and the glittering Hall... read more ",SAR 157.83 
"Private Corporate Boat Charters to Exuma, Bahamas",No , Fanta Sea Island Charters,"Do you want to treat your employees or celebrate a business win? Maybe you want to motivate or reward your staff. Or maybe you want to show some business associates a great time in Exuma, Bahamas. Whatever the... read more ","SAR 11,250.66 "
Airport Transfers & Charters,No , Creative Enterprise Concepts,"We don't offer ground transportation in the form of airport transfers, we're a full service concierge entity. We provide On Demand Services (requested chauffeurs at an hourly rate) for your convenience if requested.... read more ",SAR 300.02 
Beach Massages,No , Island Wellness Exuma,Enjoy Exuma a beach Massage listening to the waves and enjoying our beautiful turquoise waters. Book with us.,SAR 421.90 
Buggy Rental in Bahamas,No , Bahamas To-Do,"Rental Times:9am &1pm is the only rental option for the 4 hour rentals.Other rental options are usually booked between 9 am or 10 am.Refundable Damage Waiver Fee:Please note that after you have checked out, when... read more ","SAR 1,087.56 "
Sub Excursion in Bahamas,No , Bahamas To-Do,"Explore Nassau’s underwater world in a SUB, or Scenic Underwater Bubble during this 5-hour activity. Allowing you to cruise among the coral gardens and schools of tropical fish without even getting your hair wet,... read more ",SAR 712.54 
On Island Time Massage,No , The Sea View Spa,Come and enjoy an environment where every treatment room has a beautiful view of the sea. You can enjoy your massages in the air conditioned comfort of the spa or you can enjoy the gentle laps of the waves with a... read more ,SAR 375.21 
Private Hire Taxi Service,No , Rockstar Tours Bahamas,"Why Choose Rock Star Transportation?Why hire a regular company, Rockstar Transportation is above and beyond at a lower price. We are often asked why Rockstar? Simply put, we are the most unique, friendly and... read more ",SAR 105.01 
"BIMINI, BAHAMAS DAY CRUISE FROM FORT LAUDERDALE& FREE TRANSPORTATION...",16 , Admiral Cruise & Transportation,"Zip over to the Bahamas for the day on this tour from Miami by boat. Step aboard a boat in metropolitan Miami and enjoy the scenery on the 49-mile (79-kilometer) journey, landing on Bimini to relax at the Hilton... read more ",SAR 558.78 
"FREEPORT, BAHAMAS DAY CRUISE FROM FORT LAUDERDALE, FL & FREE...",1 , Admiral Cruise & Transportation,"You can travel to the Bahamas and back in one day on this tour from Ft. Lauderdale. After a 2-hour boat ride across the Atlantic to reach Freeport on Grand Bahama Island, you can spend a relaxing afternoon however... read more ",SAR 521.28 
SPLIT CRUISE TO GRAND BAHAMAS & FREE TRANSPORTATION!,No , Admiral Cruise & Transportation,The Bahamas is the ultimate beach destination ! Crystal blue waters Sumptuous food Friendly smilesMemories to last a lifetime,SAR 746.29 
ParadiseIsland Roundtrip Airport -Hotel Shuttle service,1 , Bahamas A Sus Ordenes,The driver will await you with the lead passenger's name on the outside of the arrivals terminal. This ride is with a knowledgeable driver who will give you tips for an enjoyable vacation. The van is comfortable and... read more ,SAR 168.76 
The Ultimate Bahamian Adventure Package,26 , My Own Water Sports,"Combine snorkeling, banana boat riding, parasailing, and a ride on a wave runner in this ultimate water sports activity package at Cabbage Beach. This 3.5-hour excursion includes lunch and some free time on the... read more ",SAR 750.04 
Swimming Pigs & Boat Excursions,No ,No company,Be able to explore through the aquamarine waters throughout our islands on our 35 ft Marlin and get the 'Reel Addiction'.,"SAR 3,750.22 "
Airport Pick-Up & Drop-Off,No ,No company,We offer over 20 years of ultimate luxury transportation to our guests making them our number one priority.,SAR 450.03 
